"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","U002.EIC_MW.WINDENERGY.A","OBS_VALUE","U002","Africa","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","4578.263","5470.653","5527.853","6513.753","6908.753","7744.853","8653.628"
"IMF.STA:RE(2.0.1)","U142.EIC_MW.HYDROPOWER.A","OBS_VALUE","U142","Asia","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","513492.832","527078.256","538232.115","555041.111","574494.585","591620.137","596712.797"
"IMF.STA:RE(2.0.1)","AFG.EG_GWH.FOSSILFUELS.A","OBS_VALUE","AFG","Afghanistan, Islamic Republic of","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","163.618","192.93","176.71","151.79","257.78","234.88",""
"IMF.STA:RE(2.0.1)","AFG.EG_GWH.WINDENERGY.A","OBS_VALUE","AFG","Afghanistan, Islamic Republic of","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","0.123","0.123","0.123","0.123","0.123","0.123",""
"IMF.STA:RE(2.0.1)","ARM.EIC_MW.FOSSILFUELS.A","OBS_VALUE","ARM","Armenia, Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1840","1826.6","1826.6","1831.6","2085.6","2085.6","1785.6"
"IMF.STA:RE(2.0.1)","ASM.EIC_MW.SOLARENERGY.A","OBS_VALUE","ASM","American Samoa","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","4.27","5.16","4.81","4.81","4.81","4.81","4.81"
"IMF.STA:RE(2.0.1)","ABW.EIC_MW.BIOENERGY.A","OBS_VALUE","ABW","Aruba, Kingdom of the Netherlands","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","2","","","","","",""
"IMF.STA:RE(2.0.1)","AND.EIC_MW.FOSSILFUELS.A","OBS_VALUE","AND","Andorra, Principality of","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1.7","1.7","1.7","1.7","1.7","1.7","1.7"
"IMF.STA:RE(2.0.1)","U002.EIC_MW.HYDROPOWER.A","OBS_VALUE","U002","Africa","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","30923.444","32287.93","32993.234","33852.455","34332.865","36079.022","37083.682"
"IMF.STA:RE(2.0.1)","DZA.EIC_MW.HYDROPOWER.A","OBS_VALUE","DZA","Algeria","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","228","228","228","208.6","128.9","128.9","128.9"
"IMF.STA:RE(2.0.1)","DZA.EIC_MW.WINDENERGY.A","OBS_VALUE","DZA","Algeria","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","10.2","10","10","10","10","10","10"
"IMF.STA:RE(2.0.1)","ABW.EG_GWH.SOLARENERGY.A","OBS_VALUE","ABW","Aruba, Kingdom of the Netherlands","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","12.78","19.411","25.996","25.996","25.996","25.996",""
"IMF.STA:RE(2.0.1)","G110.EG_GWH.FOSSILFUELS.A","OBS_VALUE","G110","Advanced Economies","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","5730416.734","5785386.448","5546081.83","5240196.496","5401739.239","5387109.662","0"
"IMF.STA:RE(2.0.1)","DZA.EIC_MW.SOLARENERGY.A","OBS_VALUE","DZA","Algeria","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","354.1","366.1","366.1","366.1","366.1","450.8","450.8"
"IMF.STA:RE(2.0.1)","ARG.EG_GWH.BIOENERGY.A","OBS_VALUE","ARG","Argentina","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","1564.839","1535.911","1825.706","2489.119","2507.334","2516.652",""
"IMF.STA:RE(2.0.1)","AGO.EG_GWH.BIOENERGY.A","OBS_VALUE","AGO","Angola","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","200","200","200","200","200","200",""
