"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","TUV.EG_GWH.FOSSILFUELS.A","OBS_VALUE","TUV","Tuvalu","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","6.524","7.131","7.562","8.137","8.472","8.472",""
"IMF.STA:RE(2.0.1)","THA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","THA","Thailand","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","38318","39468","40081","40981","42231","44889","45389"
"IMF.STA:RE(2.0.1)","TWN.EIC_MW.WINDENERGY.A","OBS_VALUE","TWN","Taiwan Province of China","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","692.39","713.151","845.159","937.115","1033.368","1581.1","2673.822"
"IMF.STA:RE(2.0.1)","VCT.EG_GWH.HYDROPOWER.A","OBS_VALUE","VCT","St. Vincent and the Grenadines","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","20.328","23.77","21.618","21.603","19.221","19.221",""
"IMF.STA:RE(2.0.1)","LKA.EG_GWH.HYDROPOWER.A","OBS_VALUE","LKA","Sri Lanka","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","4027.943","6408.483","4819.473","4983.842","7233.981","6767.208",""
"IMF.STA:RE(2.0.1)","ZAF.EIC_MW.BIOENERGY.A","OBS_VALUE","ZAF","South Africa","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","259.685","264.685","264.685","264.685","264.685","264.685","264.685"
"IMF.STA:RE(2.0.1)","CHE.EG_GWH.SOLARENERGY.A","OBS_VALUE","CHE","Switzerland","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","1683","1945","2178","2599","2842","3858",""
"IMF.STA:RE(2.0.1)","U035.EG_GWH.WINDENERGY.A","OBS_VALUE","U035","South-eastern Asia","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","2585.684","3446.113","5632.994","5402.968","7375.564","12488.116","0"
"IMF.STA:RE(2.0.1)","LKA.EIC_MW.BIOENERGY.A","OBS_VALUE","LKA","Sri Lanka","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","26.105","27.095","40.095","45.095","45.105","45.105","45.105"
"IMF.STA:RE(2.0.1)","G603.EIC_MW.FOSSILFUELS.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","72863.2498","75541.8278","76279.6588","79080.3728","81167.1528","81751.1348","82239.94"
"IMF.STA:RE(2.0.1)","G603.EG_GWH.WINDENERGY.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","1421.113","1179.867","1501.209","1415.964","1909.773","1609.327","0"
"IMF.STA:RE(2.0.1)","U035.EG_GWH.SOLARENERGY.A","OBS_VALUE","U035","South-eastern Asia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","6569.193","6835.189","12589.115","18664.478","35887.938","37207.517","0"
"IMF.STA:RE(2.0.1)","U035.EIC_MW.SOLARENERGY.A","OBS_VALUE","U035","South-eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","4312.707","4889.98","10547.193","23144.638","24172.166","25113.811","26191.889"
"IMF.STA:RE(2.0.1)","G603.EG_GWH.BIOENERGY.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","2634.607","2843.269","2865.68","2730.426","2723.319","2728.042","0"
"IMF.STA:RE(2.0.1)","SGS.EIC_MW.WINDENERGY.A","OBS_VALUE","SGS","South Georgia and the South Sandwich Islands","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","0.006","0.006","0.006","0.006","0.006","0.006","0.006"
"IMF.STA:RE(2.0.1)","VCT.EIC_MW.HYDROPOWER.A","OBS_VALUE","VCT","St. Vincent and the Grenadines","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","5.71","5.71","5.71","5.71","5.71","5.71","5.71"
"IMF.STA:RE(2.0.1)","ZAF.EIC_MW.WINDENERGY.A","OBS_VALUE","ZAF","South Africa","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","2094","2094","2094","2516","2495","3163","3442"
"IMF.STA:RE(2.0.1)","MAF.EG_GWH.FOSSILFUELS.A","OBS_VALUE","MAF","Saint Martin","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","174.935","146.73","167.543","175.406","179.754","183.907",""
"IMF.STA:RE(2.0.1)","U039.EG_GWH.HYDROPOWER.A","OBS_VALUE","U039","Southern Europe","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","93422.446","143563.605","117976.073","126086.077","135399.246","88306.019","0"
"IMF.STA:RE(2.0.1)","SUR.EIC_MW.HYDROPOWER.A","OBS_VALUE","SUR","Suriname","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","180.096","180.096","180.096","180.096","180.096","180.096","180.096"
"IMF.STA:RE(2.0.1)","CHE.EG_GWH.BIOENERGY.A","OBS_VALUE","CHE","Switzerland","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","1859","1827","1879","1991","2066","2079",""
"IMF.STA:RE(2.0.1)","SWE.EG_GWH.HYDROPOWER.A","OBS_VALUE","SWE","Sweden","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","65143","62210","65371","72389","73885","69871",""
"IMF.STA:RE(2.0.1)","U035.EIC_MW.WINDENERGY.A","OBS_VALUE","U035","South-eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","1261.236","1910.286","2478.936","2622.296","6260.892","7207.889","8028.879"
"IMF.STA:RE(2.0.1)","U034.EG_GWH.WINDENERGY.A","OBS_VALUE","U034","Southern Asia","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","50080.908","58571.713","66491.289","66953.656","67173.523","75183.218","0"
"IMF.STA:RE(2.0.1)","SGS.EIC_MW.FOSSILFUELS.A","OBS_VALUE","SGS","South Georgia and the South Sandwich Islands","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","0.13","0.13","0.13","0.13","0.13","0.13","0.13"
"IMF.STA:RE(2.0.1)","U034.EIC_MW.WINDENERGY.A","OBS_VALUE","U034","Southern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","34033.441","36889.881","39179.911","40287.041","41970.126","44374.441","47218.791"
"IMF.STA:RE(2.0.1)","U039.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U039","Southern Europe","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","133863.077","133427.941","132725.942","126550.737","122602.599","123359.47","124426.47"
"IMF.STA:RE(2.0.1)","SDN.EG_GWH.BIOENERGY.A","OBS_VALUE","SDN","Sudan","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","129.64","121.68","108.98","102.717","106.629","106.629",""
"IMF.STA:RE(2.0.1)","SDN.EIC_MW.FOSSILFUELS.A","OBS_VALUE","SDN","Sudan","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1810","1932","1935","1935","1935","1935","1935"
"IMF.STA:RE(2.0.1)","SSD.EG_GWH.FOSSILFUELS.A","OBS_VALUE","SSD","South Sudan, Republic of","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","539","580","546","547","547","547",""
"IMF.STA:RE(2.0.1)","SDN.EIC_MW.BIOENERGY.A","OBS_VALUE","SDN","Sudan","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","199","199","199","199","199","199","199"
"IMF.STA:RE(2.0.1)","G603.EIC_MW.BIOENERGY.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","1365.66","1519.76","1519.76","1534.517","1587.76","1586.596","1561.596"
"IMF.STA:RE(2.0.1)","KNA.EIC_MW.SOLARENERGY.A","OBS_VALUE","KNA","St. Kitts and Nevis","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","1.932","1.964","2.014","3.014","3.014","3.014","3.014"
"IMF.STA:RE(2.0.1)","LKA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","LKA","Sri Lanka","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","2074","2047","2192","2178","1997","1834","1834"
"IMF.STA:RE(2.0.1)","SUR.EG_GWH.HYDROPOWER.A","OBS_VALUE","SUR","Suriname","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","925.993","999.992","952.773","674.336","847.336","847.336",""
"IMF.STA:RE(2.0.1)","U039.EIC_MW.WINDENERGY.A","OBS_VALUE","U039","Southern Europe","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","41356.712","42695.605","46404.731","48409.771","50949.918","53957.289","56330.089"
"IMF.STA:RE(2.0.1)","U039.EIC_MW.HYDROPOWER.A","OBS_VALUE","U039","Southern Europe","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","56944.673","57139.876","57363.756","57793.271","58015.491","59093.989","59013.989"
"IMF.STA:RE(2.0.1)","SUR.EG_GWH.FOSSILFUELS.A","OBS_VALUE","SUR","Suriname","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","878.218","788.688","913.562","1051.645","742.079","742.079",""
"IMF.STA:RE(2.0.1)","CHE.EG_GWH.HYDROPOWER.A","OBS_VALUE","CHE","Switzerland","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","34092","34985","38040","37869","36964","29900",""
"IMF.STA:RE(2.0.1)","U039.EIC_MW.BIOENERGY.A","OBS_VALUE","U039","Southern Europe","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","5323.297","5493.449","5595.678","5772.522","5813.875","5805.343","5874.343"
"IMF.STA:RE(2.0.1)","LKA.EG_GWH.FOSSILFUELS.A","OBS_VALUE","LKA","Sri Lanka","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","10271.531","9023.931","11036.031","10637.11","8830.402","8281.783",""
"IMF.STA:RE(2.0.1)","LKA.EG_GWH.WINDENERGY.A","OBS_VALUE","LKA","Sri Lanka","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","367.2","326.3","348","331.656","652.864","737.908",""
"IMF.STA:RE(2.0.1)","U034.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U034","Southern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","375975.756","403965.042","421247.548","427089.054","430001.553","437908.49","449321.311"
"IMF.STA:RE(2.0.1)","CHE.EG_GWH.WINDENERGY.A","OBS_VALUE","CHE","Switzerland","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","133","122","146","145","145","150",""
"IMF.STA:RE(2.0.1)","KNA.EG_GWH.WINDENERGY.A","OBS_VALUE","KNA","St. Kitts and Nevis","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","5.401","5.576","5.576","5.576","5.576","5.576",""
"IMF.STA:RE(2.0.1)","G603.EG_GWH.HYDROPOWER.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","102112.138","111205.05","117298.794","121301.65","129995.74","134605.044","0"
"IMF.STA:RE(2.0.1)","SWE.EIC_MW.FOSSILFUELS.A","OBS_VALUE","SWE","Sweden","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","1863","2632","2287","4119","3760","3757","3757"
"IMF.STA:RE(2.0.1)","LCA.EG_GWH.SOLARENERGY.A","OBS_VALUE","LCA","St. Lucia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","1.345","6.308","8.138","7.878","7.558","7.898",""
"IMF.STA:RE(2.0.1)","ESP.EIC_MW.HYDROPOWER.A","OBS_VALUE","ESP","Spain","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","16747.6","16748.172","16782.267","16785.192","16800.968","16805.693","16808.693"
"IMF.STA:RE(2.0.1)","SDN.EG_GWH.FOSSILFUELS.A","OBS_VALUE","SDN","Sudan","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","5900.001","6301.27","6505.045","5408.72","6576","6576",""
"IMF.STA:RE(2.0.1)","VCT.EG_GWH.FOSSILFUELS.A","OBS_VALUE","VCT","St. Vincent and the Grenadines","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","128.933","125.01","129.796","125.393","121.953","121.953",""
"IMF.STA:RE(2.0.1)","U034.EG_GWH.BIOENERGY.A","OBS_VALUE","U034","Southern Asia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","20096.14","21796.674","23836.584","23665.047","25647.67","27880.062","0"
"IMF.STA:RE(2.0.1)","U035.EG_GWH.BIOENERGY.A","OBS_VALUE","U035","South-eastern Asia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","32700.728","38200.868","40400.149","39415.41","44393.957","50876.891","0"
"IMF.STA:RE(2.0.1)","U034.EIC_MW.BIOENERGY.A","OBS_VALUE","U034","Southern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","9879.999","10659.215","10760.697","11072.52","11133.015","11213.395","11296.725"
"IMF.STA:RE(2.0.1)","U035.EIC_MW.BIOENERGY.A","OBS_VALUE","U035","South-eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","7264.367","7869.652","8070.107","8341.552","8966.915","10110.451","10509.767"
"IMF.STA:RE(2.0.1)","KNA.EG_GWH.SOLARENERGY.A","OBS_VALUE","KNA","St. Kitts and Nevis","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","3.051","3.101","3.18","4.759","4.759","4.759",""
"IMF.STA:RE(2.0.1)","SSD.EIC_MW.FOSSILFUELS.A","OBS_VALUE","SSD","South Sudan, Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","131.4","131.4","164.4","164.4","165.4","166.4","196.4"
"IMF.STA:RE(2.0.1)","U039.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U039","Southern Europe","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","451795.897","407024.47","400537.572","359379.208","364206.474","391759.676","0"
"IMF.STA:RE(2.0.1)","LKA.EIC_MW.SOLARENERGY.A","OBS_VALUE","LKA","Sri Lanka","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","154.223","228.178","349.585","435.623","624.443","800.174","966.434"
"IMF.STA:RE(2.0.1)","ZAF.EIC_MW.SOLARENERGY.A","OBS_VALUE","ZAF","South Africa","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","3451.001","4805.061","4908.14","5994.492","6315.905","6325.834","6164.23"
"IMF.STA:RE(2.0.1)","G603.EG_GWH.SOLARENERGY.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","6288.392","7805.718","9103.399","10226.114","12919.111","14477.364","0"
"IMF.STA:RE(2.0.1)","ESP.EIC_MW.WINDENERGY.A","OBS_VALUE","ESP","Spain","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","23124.479","23405.055","25590.076","26819.19","27907.651","30113.764","31027.764"
"IMF.STA:RE(2.0.1)","SSD.EG_GWH.SOLARENERGY.A","OBS_VALUE","SSD","South Sudan, Republic of","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.374","1.105","1.205","2.707","4.451","4.451",""
"IMF.STA:RE(2.0.1)","U039.EG_GWH.BIOENERGY.A","OBS_VALUE","U039","Southern Europe","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","29964.371","29666.049","30258.626","31551.892","32288.705","30854.812","0"
"IMF.STA:RE(2.0.1)","U035.EG_GWH.HYDROPOWER.A","OBS_VALUE","U035","South-eastern Asia","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","193313.17","201592.845","173235.192","183589.282","198237.424","224434.664","0"
"IMF.STA:RE(2.0.1)","VCT.EIC_MW.SOLARENERGY.A","OBS_VALUE","VCT","St. Vincent and the Grenadines","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","2.682","3.306","3.998","4.165","4.236","4.303","4.803"
"IMF.STA:RE(2.0.1)","LKA.EIC_MW.WINDENERGY.A","OBS_VALUE","LKA","Sri Lanka","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","131.45","128.45","128.45","179","252","252","267"
"IMF.STA:RE(2.0.1)","U039.EG_GWH.SOLARENERGY.A","OBS_VALUE","U039","Southern Europe","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","44365.079","40798.69","45271.218","52634.231","60738.352","76188.32","0"
"IMF.STA:RE(2.0.1)","SWE.EG_GWH.FOSSILFUELS.A","OBS_VALUE","SWE","Sweden","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","1790","2089","1684","897","1375","1254",""
"IMF.STA:RE(2.0.1)","KNA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","KNA","St. Kitts and Nevis","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","70.45","70.45","70.45","70.45","70.45","74.3","74.3"
"IMF.STA:RE(2.0.1)","ESP.EG_GWH.SOLARENERGY.A","OBS_VALUE","ESP","Spain","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","14397","12744","15103","20667","27098","35764",""
"IMF.STA:RE(2.0.1)","SDN.EG_GWH.SOLARENERGY.A","OBS_VALUE","SDN","Sudan","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","20.455","20.488","21.547","27.509","27.509","125.509",""
"IMF.STA:RE(2.0.1)","LCA.EG_GWH.BIOENERGY.A","OBS_VALUE","LCA","St. Lucia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","0.463","0.463","0.463","0.463","0.463","0.463",""
"IMF.STA:RE(2.0.1)","SUR.EIC_MW.FOSSILFUELS.A","OBS_VALUE","SUR","Suriname","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","258.07","258.07","266.07","266.07","306.07","398.222","398.222"
"IMF.STA:RE(2.0.1)","SDN.EIC_MW.SOLARENERGY.A","OBS_VALUE","SDN","Sudan","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","35.8","59.488","80.489","117.13","135.86","189.86","189.86"
"IMF.STA:RE(2.0.1)","ESP.EIC_MW.SOLARENERGY.A","OBS_VALUE","ESP","Spain","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","7027.063","7067.67","11111.21","12439.601","16019.209","25615.274","31016.274"
"IMF.STA:RE(2.0.1)","MAF.EG_GWH.SOLARENERGY.A","OBS_VALUE","MAF","Saint Martin","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","0.165","0.018","0.446","1.205","1.468","1.749",""
"IMF.STA:RE(2.0.1)","SWE.EIC_MW.BIOENERGY.A","OBS_VALUE","SWE","Sweden","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","4822","5020.5","5298.5","4461.5","4376","4506.5","4506.5"
"IMF.STA:RE(2.0.1)","SDN.EG_GWH.HYDROPOWER.A","OBS_VALUE","SDN","Sudan","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","9346.87","9657","10210","11008","10061","10061",""
"IMF.STA:RE(2.0.1)","SDN.EIC_MW.HYDROPOWER.A","OBS_VALUE","SDN","Sudan","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","1322","1482","1482","1482","1482","1482","1482"
"IMF.STA:RE(2.0.1)","U039.EIC_MW.SOLARENERGY.A","OBS_VALUE","U039","Southern Europe","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","30377.933","31010.488","36324.155","39336.881","45590.937","59893.112","74553.202"
"IMF.STA:RE(2.0.1)","U034.EG_GWH.HYDROPOWER.A","OBS_VALUE","U034","Southern Asia","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","190137.707","198002.784","232604.062","245276.284","235374.799","239636.34","0"
"IMF.STA:RE(2.0.1)","U035.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U035","South-eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","177696.771","183664.555","193640.965","200888.343","207470.171","221819.619","231388.081"
"IMF.STA:RE(2.0.1)","SGS.EIC_MW.HYDROPOWER.A","OBS_VALUE","SGS","South Georgia and the South Sandwich Islands","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","0.18","0.18","0.18","0.18","0.18","0.18","0.193"
"IMF.STA:RE(2.0.1)","U035.EIC_MW.HYDROPOWER.A","OBS_VALUE","U035","South-eastern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","44987.5","45996.907","49443.386","51901.539","54376.006","56178.006","56444.156"
"IMF.STA:RE(2.0.1)","ESP.EIC_MW.BIOENERGY.A","OBS_VALUE","ESP","Spain","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","1044.548","1057.449","1112.228","1264.353","1278.12","1278.63","1278.63"
"IMF.STA:RE(2.0.1)","SWE.EG_GWH.WINDENERGY.A","OBS_VALUE","SWE","Sweden","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","17609","16623","19847","27526","27244","33253",""
"IMF.STA:RE(2.0.1)","VCT.EIC_MW.FOSSILFUELS.A","OBS_VALUE","VCT","St. Vincent and the Grenadines","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","41","38","33.19","44.41","44.88","46.849","46.849"
"IMF.STA:RE(2.0.1)","U039.EG_GWH.WINDENERGY.A","OBS_VALUE","U039","Southern Europe","EG_GWH","Electricity Generation, Gigawatt hours","WINDENERGY","Wind energy","A","Annual","86120.605","89394.265","99895.914","100301.547","110770.642","111684.663","0"
"IMF.STA:RE(2.0.1)","ZAF.EIC_MW.HYDROPOWER.A","OBS_VALUE","ZAF","South Africa","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","747.65","747.65","747.65","747.65","751.65","751.65","751.65"
"IMF.STA:RE(2.0.1)","ESP.EG_GWH.BIOENERGY.A","OBS_VALUE","ESP","Spain","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","6078","5911","5572","6138","6942.551","6798.5",""
"IMF.STA:RE(2.0.1)","SUR.EIC_MW.BIOENERGY.A","OBS_VALUE","SUR","Suriname","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"IMF.STA:RE(2.0.1)","SWE.EIC_MW.WINDENERGY.A","OBS_VALUE","SWE","Sweden","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","6611","7300","8681","9976","12116","14279","16252"
"IMF.STA:RE(2.0.1)","G603.EIC_MW.WINDENERGY.A","OBS_VALUE","G603","Sub-Saharan Africa (SSA)","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","2551.063","2860.653","2915.853","3443.753","3542.753","4289.353","4650.628"
"IMF.STA:RE(2.0.1)","KNA.EIC_MW.WINDENERGY.A","OBS_VALUE","KNA","St. Kitts and Nevis","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","2.2","2.2","2.2","2.2","2.2","2.2","2.2"
"IMF.STA:RE(2.0.1)","LCA.EIC_MW.FOSSILFUELS.A","OBS_VALUE","LCA","St. Lucia","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","88.4","88.4","88.4","88.4","88.4","88.4","88.4"
"IMF.STA:RE(2.0.1)","U034.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U034","Southern Asia","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","1625531.122","1692081.711","1755959.914","1752710.231","1797399.29","1867210.52","0"
"IMF.STA:RE(2.0.1)","MAF.EIC_MW.SOLARENERGY.A","OBS_VALUE","MAF","Saint Martin","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","0.1","0.1","0.5","1","1","1.9","2.1"
"IMF.STA:RE(2.0.1)","U034.EIC_MW.HYDROPOWER.A","OBS_VALUE","U034","Southern Asia","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","67908.608","71309.121","72446.369","73167.159","74672.862","76416.089","77193.949"
"IMF.STA:RE(2.0.1)","ESP.EG_GWH.FOSSILFUELS.A","OBS_VALUE","ESP","Spain","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","126152","111218","110568","86592","87560","105261",""
